ClipId	Gram	Prag	Herit	Vocab,Vocab
AF002_1989_EP_SU2011_AD_01	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision		Entities,Entities:Geo,Verb:ser,Noun:papá,Noun:mamá,Noun:familia,Noun:paso,Verb:nacer,Noun:Juárez,Noun:Durango,Adjective:bueno,Verb:venir,Noun:ama,Noun:tipo,Noun:padre,Verb:haber,Adjective:malo,Noun:casa,Noun:historia,Verb:recordar,Noun:este,Verb:crecer,Verb:quedar,Noun:verano,Noun:trabajo
AF002_1989_EP_SU2011_AD_02	Det,Det:Art,Det:Demo,Det:Pos,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad		Entities,Entities:Geo,Verb:celebrar,Verb:ser,Noun:fecha,Noun:tradición,Noun:vez,Noun:día
AF002_1989_EP_SU2011_AD_03	Det,Det:Art,Det:Demo,Det:Pos,Gustar,Gustar:Interlocutor,Imperf,Indefinido,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:gustar,Verb:ser,Noun:escuela,Verb:ir,Verb:hacer,Noun:maestría,Verb:querer,Verb:empezar,Verb:estar,Noun:ciencia,Noun:educación,Noun:año,Verb:trabajar,Adjective:curioso,Noun:consejero
AF002_1989_EP_SU2011_AD_04	Det,Det:Art,Det:Pos,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision		,Verb:ser,Verb:callar,Noun:compañero,Verb:reservar,Adjective:amigable,Noun:trabajo
AF002_1989_EP_SU2011_AD_05	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pret,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Verb:influir,Adjective:bueno,Verb:salir,Verb:hacer,Verb:haber,Noun:vida,Verb:tener,Noun:porqué
AF002_1989_EP_SU2011_AD_06	Det,Det:Art,Imperf,Indefinido,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Verb:tener,Noun:cosa,Adjective:favorito,Noun:escuela,Noun:historia
AF002_1989_EP_SU2011_AD_07	Det,Det:Art,Det:Pos,Indefinido,Prep,Aux,Aux:Haber,PerfPerif			,Verb:haber,Noun:familia,Verb:poder,Noun:primera,Verb:tener
AF002_1989_EP_SU2011_AD_08	Det,Det:Art,Det:Demo,Det:Pos,Imperf,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Genero,Genero:ExcepMasc,Gustar,Gustar:Ajenos,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Noun:infancia,Verb:ir,Noun:niño,Verb:hacer,Verb:estar,Verb:haber,Verb:gustar,Noun:día,Adjective:bueno,Adjective:perfecto,Noun:amistad,Noun:vez,Noun:tío,Adjective:grande,Verb:observar,Noun:casa,Noun:primo,Verb:conservar,Noun:gente,Verb:jugar,Verb:conocer,Noun:contacto
AF002_1989_EP_SU2011_AD_09	Det,Det:Art,Det:Pos,Gustar,Gustar:Interlocutor,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		,Adjective:bueno,Verb:ser,Noun:persona,Noun:año,Verb:acabar,Noun:escuela,Noun:familia,Adjective:grandote,Adjective:propio,Verb:tener,Noun:hermano,Noun:mmm,Noun:este
AF002_1989_EP_SU2011_AD_10	Det,Det:Art,Det:Demo,Haber,Haber:Exist,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Gustar,Gustar:Ajenos,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:inglés,Noun:persona,Verb:ir,Noun:expresión,Noun:español,Verb:depender,Verb:conocer,Noun:enojo,Verb:estar,Adjective:social,Verb:referir,Noun:mayoría,Adjective:bueno
