clip_id	gram_tags	prag_tags	func_tags	herit_tags	vocab_tags
AF002_1989_EP_SU2011_AD_01	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision			Entities,Entities:Geo,Verb:ser,Noun:papá,Noun:mamá,Noun:familia,Noun:Durango,Adjective:bueno,Verb:nacer,Verb:venir,Noun:ama,Noun:tipo,Noun:padre,Verb:haber,Adjective:malo,Noun:casa,Adjective:okay,Noun:historia,Noun:Juárez,Verb:recordar,Noun:este,Verb:crecer,Verb:quedar,Noun:verano,Noun:Okay,Noun:trabajo
AF002_1989_EP_SU2011_AD_02	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Entities,Entities:Geo,Verb:celebrar,Verb:ser,Noun:fecha,Noun:tradición,Noun:vez,Noun:Unidos,Noun:día
AF002_1989_EP_SU2011_AD_03	Det,Det:Art,Det:Demo,Det:Pos,Gustar,Gustar:Interlocutor,Imperf,Indefinido,MImp,MImp:Informal,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Aux,Aux:Haber,Det,Det:LoAdj,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:gustar,Verb:ser,Noun:escuela,Verb:ir,Verb:hacer,Noun:maestría,Verb:querer,Verb:empezar,Verb:estar,Noun:ciencia,Noun:educación,Noun:año,Verb:trabajar,Adjective:curioso,Noun:consejero
AF002_1989_EP_SU2011_AD_04	Det,Det:Art,Det:CuantIndef,Det:Pos,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision		Contacto,Contacto:Mixtas	,Verb:ser,Verb:callar,Noun:compañero,Verb:reservar,Adjective:amigable,Noun:trabajo
AF002_1989_EP_SU2011_AD_05	Det,Det:Art,Det:CuantIndef,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:LoAdj,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Revision	Expresar,Expresar:Sugerencias		,Verb:ser,Verb:influir,Adjective:bueno,Verb:salir,Verb:hacer,Verb:haber,Noun:vida,Verb:tener
AF002_1989_EP_SU2011_AD_06	Det,Det:Art,Det:CuantIndef,Imperf,Indefinido,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Revision			,Verb:ser,Verb:tener,Noun:cosa,Adjective:favorito,Noun:escuela,Noun:historia
AF002_1989_EP_SU2011_AD_07	Det,Det:Art,Det:Pos,Indefinido,Prep,Aux,Aux:Haber,Det,Det:DetCombi,PerfPerif				,Verb:haber,Noun:familia,Verb:poder,Verb:culturar,Noun:primera,Verb:tener
AF002_1989_EP_SU2011_AD_08	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:DetCombi,Det:LoAdj,Genero,Genero:ExcepMasc,Gustar,Gustar:Ajenos,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision			,Verb:ser,Noun:infancia,Verb:ir,Noun:niño,Verb:hacer,Verb:estar,Verb:haber,Verb:gustar,Noun:día,Adjective:bueno,Adjective:perfecto,Noun:amistad,Noun:vez,Noun:tío,Adjective:grande,Verb:observar,Noun:casa,Noun:primo,Verb:conservar,Noun:gente,Verb:jugar,Verb:conocer
AF002_1989_EP_SU2011_AD_09	Det,Det:Art,Det:CuantIndef,Det:Pos,Gustar,Gustar:Interlocutor,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,Det,Det:LoAdj	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad			,Adjective:bueno,Noun:persona,Verb:ser,Noun:año,Verb:acabar,Noun:escuela,Noun:familia,Adjective:grandote,Adjective:propio,Verb:tener,Noun:hermano,Noun:mmm,Noun:este
AF002_1989_EP_SU2011_AD_10	Det,Det:Art,Det:Demo,Haber,Haber:Exist,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:LoAdj,Gustar,Gustar:Ajenos,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad			Fraseol,Fraseol:LocAdv,Fraseol:VerbPrep,Verb:ser,Verb:ir,Noun:inglés,Noun:expresión,Noun:español,Noun:persona,Verb:depender,Verb:conocer,Noun:enojo,Verb:estar,Adjective:social,Verb:referir,Adjective:curioso,Noun:mayoría,Adjective:bueno
