Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF025_1967_CT_SU2011_VA_08	tt-5036	Ah	UH	Other	ah	>>i	00:00:00	00:00:07	1	English	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5037	,	CM	Punctuation	,	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5038	bueno	ADJ	Adjective	bueno	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5039	de	PREP	Preposition	de	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5040	...	DOTS	Punctuation	...	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5041	Lorena	NP	Noun	Lorena	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5042	,	CM	Punctuation	,	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5043	¿	FS	Punctuation	¿	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5044	me	PPX	Pronoun	yo	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5045	quiere	VLfin	Verb	querer	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA	Pres	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5046	platicar	VLinf	Verb	platicar	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA	Infinitive			
MF025_1967_CT_SU2011_VA_08	tt-5047	ahora	ADV	Adverb	ahora	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5048	de	PREP	Preposition	de	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5049	cómo	ADV	Adverb	cómo	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5050	conoció	VLfin	Verb	conocer	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5051	a	PREP	Preposition	a	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5052	su	PPO	Pronoun	suyo	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5053	esposo	NC	Noun	esposo	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5054	?	FS	Punctuation	?	>>i	00:00:00	00:00:07	1	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5055	Bueno	ADJ	Adjective	bueno	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5056	,	CM	Punctuation	,	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5057	como	CSUBX	Conjunction	como	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5058	yo	PPX	Pronoun	yo	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5059	comentaba	VLfin	Verb	comentar	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA	Imp	Indi	Sing	1st or 3rd
MF025_1967_CT_SU2011_VA_08	tt-5060	,	CM	Punctuation	,	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5061	en	PREP	Preposition	en	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5062	,	CM	Punctuation	,	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
