clip_id	tag	tag_type	tt_start	tt_end
AF002_1989_EP_SU2011_AD_01	Indefinido	Gram	tt-22	tt-22
AF002_1989_EP_SU2011_AD_01	Indefinido	Gram	tt-28	tt-28
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-29	tt-29
AF002_1989_EP_SU2011_AD_01	RecuDiscurso	Prag	tt-33	tt-33
AF002_1989_EP_SU2011_AD_01	RecuDiscurso:GanarTiempo	Prag	tt-33	tt-33
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-37	tt-37
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-38	tt-38
AF002_1989_EP_SU2011_AD_01	Det:Art	Gram	tt-38	tt-38
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-42	tt-42
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-44	tt-44
AF002_1989_EP_SU2011_AD_01	Indefinido	Gram	tt-51	tt-51
AF002_1989_EP_SU2011_AD_01	Imperf	Gram	tt-54	tt-54
AF002_1989_EP_SU2011_AD_01	Aux	Gram	tt-54	tt-54
AF002_1989_EP_SU2011_AD_01	Aux:Ser	Gram	tt-54	tt-54
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-58	tt-58
AF002_1989_EP_SU2011_AD_01	Det:Art	Gram	tt-58	tt-58
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-66	tt-66
AF002_1989_EP_SU2011_AD_01	Indefinido	Gram	tt-70	tt-70
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-71	tt-71
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-79	tt-79
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-81	tt-81
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-82	tt-82
AF002_1989_EP_SU2011_AD_01	Det:Art	Gram	tt-82	tt-82
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-90	tt-90
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-94	tt-94
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-95	tt-95
AF002_1989_EP_SU2011_AD_01	Det:Art	Gram	tt-95	tt-95
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-104	tt-104
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-119	tt-119
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-120	tt-120
AF002_1989_EP_SU2011_AD_01	Det:Demo	Gram	tt-120	tt-120
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-126	tt-126
AF002_1989_EP_SU2011_AD_01	Aux	Gram	tt-131	tt-131
AF002_1989_EP_SU2011_AD_01	Aux:Ser	Gram	tt-131	tt-131
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-133	tt-133
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-139	tt-139
AF002_1989_EP_SU2011_AD_01	Prep:Por	Gram	tt-139	tt-139
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-140	tt-140
AF002_1989_EP_SU2011_AD_01	Det:Art	Gram	tt-140	tt-140
AF002_1989_EP_SU2011_AD_01	Aux	Gram	tt-144	tt-144
AF002_1989_EP_SU2011_AD_01	Aux:Ser	Gram	tt-144	tt-144
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-146	tt-146
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-148	tt-148
AF002_1989_EP_SU2011_AD_01	Prep	Gram	tt-149	tt-149
AF002_1989_EP_SU2011_AD_01	Indefinido	Gram	tt-152	tt-152
AF002_1989_EP_SU2011_AD_01	Det	Gram	tt-161	tt-161
